update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
277,0.500969,10000,0,0,0,0,10000,0,0,0,0,0
278,0.500984,10000,0,0,0,0,10000,0,0,0,0,0
279,0.50098,10000,0,0,0,0,10000,0,0,0,0,0
280,0.500965,10000,0,0,0,0,10000,0,0,0,0,0
281,0.500898,10000,0,0,0,0,10000,0,0,0,0,0
282,0.500883,10000,0,0,0,0,10000,0,0,0,0,0
283,0.500891,10000,0,0,0,0,10000,0,0,0,0,0
284,0.500889,10000,0,0,0,0,10000,0,0,0,0,0
285,0.500941,10000,0,0,0,0,10000,0,0,0,0,0
286,0.500961,10000,0,0,0,0,10000,0,0,0,0,0
287,0.500989,10000,0,0,0,0,10000,0,0,0,0,0
288,0.500967,10000,0,0,0,0,10000,0,0,0,0,0
289,0.500991,10000,0,0,0,0,10000,0,0,0,0,0
290,0.500919,10000,0,0,0,0,10000,0,0,0,0,0
291,0.500896,10000,0,0,0,0,10000,0,0,0,0,0
292,0.500839,10000,0,0,0,0,10000,0,0,0,0,0
293,0.500875,10000,0,0,0,0,10000,0,0,0,0,0
294,0.500943,10000,0,0,0,0,10000,0,0,0,0,0
295,0.500956,10000,0,0,0,0,10000,0,0,0,0,0
296,0.500986,10000,0,0,0,0,10000,0,0,0,0,0
297,0.501006,10000,0,0,0,0,10000,0,0,0,0,0
298,0.500959,10000,0,0,0,0,10000,0,0,0,0,0
299,0.50091,10000,0,0,0,0,10000,0,0,0,0,0
300,0.500873,10000,0,0,0,0,10000,0,0,0,0,0
301,0.500876,10000,0,0,0,0,10000,0,0,0,0,0
302,0.500854,10000,0,0,0,0,10000,0,0,0,0,0
303,0.50094,10000,0,0,0,0,10000,0,0,0,0,0
304,0.500971,10000,0,0,0,0,10000,0,0,0,0,0
305,0.500984,10000,0,0,0,0,10000,0,0,0,0,0
306,0.501008,10000,0,0,0,0,10000,0,0,0,0,0
307,0.50105,10000,0,0,0,0,10000,0,0,0,0,0
308,0.501052,10000,0,0,0,0,10000,0,0,0,0,0
309,0.501013,10000,0,0,0,0,10000,0,0,0,0,0
310,0.500969,10000,0,0,0,0,10000,0,0,0,0,0
311,0.500988,10000,0,0,0,0,10000,0,0,0,0,0
312,0.501037,10000,0,0,0,0,10000,0,0,0,0,0
313,0.501078,10000,0,0,0,0,10000,0,0,0,0,0
314,0.501112,10000,0,0,0,0,10000,0,0,0,0,0
315,0.501149,10000,0,0,0,0,10000,0,0,0,0,0
316,0.50115,10000,0,0,0,0,10000,0,0,0,0,0
317,0.501153,10000,0,0,0,0,10000,0,0,0,0,0
318,0.501099,10000,0,0,0,0,10000,0,0,0,0,0
319,0.501031,10000,0,0,0,0,10000,0,0,0,0,0
320,0.500949,10000,0,0,0,0,10000,0,0,0,0,0
321,0.500966,10000,0,0,0,0,10000,0,0,0,0,0
322,0.501024,10000,0,0,0,0,10000,0,0,0,0,0
323,0.501003,10000,0,0,0,0,10000,0,0,0,0,0
324,0.50101,10000,0,0,0,0,10000,0,0,0,0,0
325,0.501024,10000,0,0,0,0,10000,0,0,0,0,0
326,0.501019,10000,0,0,0,0,10000,0,0,0,0,0
327,0.500993,10000,0,0,0,0,10000,0,0,0,0,0
328,0.50093,10000,0,0,0,0,10000,0,0,0,0,0
329,0.500862,10000,0,0,0,0,10000,0,0,0,0,0
330,0.500808,10000,0,0,0,0,10000,0,0,0,0,0
331,0.500897,10000,0,0,0,0,10000,0,0,0,0,0
332,0.500903,10000,0,0,0,0,10000,0,0,0,0,0
333,0.500916,10000,0,0,0,0,10000,0,0,0,0,0
334,0.50093,10000,0,0,0,0,10000,0,0,0,0,0
335,0.50095,10000,0,0,0,0,10000,0,0,0,0,0
336,0.500932,10000,0,0,0,0,10000,0,0,0,0,0
337,0.500946,10000,0,0,0,0,10000,0,0,0,0,0
338,0.50089,10000,0,0,0,0,10000,0,0,0,0,0
339,0.500866,10000,0,0,0,0,10000,0,0,0,0,0
340,0.500826,10000,0,0,0,0,10000,0,0,0,0,0
341,0.50084,10000,0,0,0,0,10000,0,0,0,0,0
342,0.500865,10000,0,0,0,0,10000,0,0,0,0,0
343,0.500854,10000,0,0,0,0,10000,0,0,0,0,0
344,0.500902,10000,0,0,0,0,10000,0,0,0,0,0
345,0.500915,10000,0,0,0,0,10000,0,0,0,0,0
346,0.5009,10000,0,0,0,0,10000,0,0,0,0,0
347,0.500903,10000,0,0,0,0,10000,0,0,0,0,0
348,0.500828,10000,0,0,0,0,10000,0,0,0,0,0
349,0.500835,10000,0,0,0,0,10000,0,0,0,0,0
